0.9904,0.0019,0.5898,NaN,0.6215,0.5939,0.6419,0.6148,0.4913,NaN,0.1912,0.0209,0.5964,0.5226,0.3896,0.7307,0.1364,0.5873,0.1393,0.4539
0.0019,0.9899,0.0318,NaN,0.0337,-0.0504,0.063,0.0498,0.0671,NaN,0.2547,0.1593,-0.0029,0.0172,0.1069,0.0378,0.2671,-0.0249,0.3564,0.0087
0.5898,0.0318,0.9901,NaN,0.5638,0.5586,0.5905,0.5845,0.5108,NaN,0.1943,0.124,0.5211,0.4069,0.3641,0.6213,0.1549,0.4055,0.1386,0.4631
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.6215,0.0337,0.5638,NaN,0.9901,0.4495,0.5341,0.4855,0.2953,NaN,0.1341,0.0119,0.5069,0.3221,0.295,0.502,-0.0066,0.3563,0.0274,0.3536
0.5939,-0.0504,0.5586,NaN,0.4495,0.9921,0.5949,0.5302,0.5797,NaN,0.1326,0.0238,0.573,0.5943,0.3086,0.6029,0.1262,0.4753,0.1386,0.4253
0.6419,0.063,0.5905,NaN,0.5341,0.5949,0.9899,0.7461,0.5323,NaN,0.2244,0.0263,0.5431,0.5265,0.3848,0.6658,0.2411,0.5266,0.313,0.4729
0.6148,0.0498,0.5845,NaN,0.4855,0.5302,0.7461,0.9886,0.4718,NaN,0.2494,0.1956,0.4813,0.5436,0.3296,0.6416,0.2881,0.4476,0.2781,0.5144
0.4913,0.0671,0.5108,NaN,0.2953,0.5797,0.5323,0.4718,0.9892,NaN,0.2904,0.1721,0.427,0.5463,0.4316,0.5303,0.191,0.4399,0.3364,0.5225
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.1912,0.2547,0.1943,NaN,0.1341,0.1326,0.2244,0.2494,0.2904,NaN,0.9911,0.3286,0.1215,0.0824,0.1863,0.0975,0.5,0.1379,0.6097,0.1589
0.0209,0.1593,0.124,NaN,0.0119,0.0238,0.0263,0.1956,0.1721,NaN,0.3286,0.99,-0.0231,-0.0591,-0.033,0.0531,0.2878,-0.0725,0.4043,0.118
0.5964,-0.0029,0.5211,NaN,0.5069,0.573,0.5431,0.4813,0.427,NaN,0.1215,-0.0231,0.9885,0.4872,0.3026,0.5686,0.1351,0.4646,0.1423,0.3899
0.5226,0.0172,0.4069,NaN,0.3221,0.5943,0.5265,0.5436,0.5463,NaN,0.0824,-0.0591,0.4872,0.9915,0.316,0.5237,0.1457,0.5385,0.1371,0.3934
0.3896,0.1069,0.3641,NaN,0.295,0.3086,0.3848,0.3296,0.4316,NaN,0.1863,-0.033,0.3026,0.316,0.9899,0.4012,-0.0132,0.395,0.1208,0.2812
0.7307,0.0378,0.6213,NaN,0.502,0.6029,0.6658,0.6416,0.5303,NaN,0.0975,0.0531,0.5686,0.5237,0.4012,0.9897,0.1119,0.621,0.1714,0.4812
0.1364,0.2671,0.1549,NaN,-0.0066,0.1262,0.2411,0.2881,0.191,NaN,0.5,0.2878,0.1351,0.1457,-0.0132,0.1119,0.9881,0.1145,0.6421,0.1524
0.5873,-0.0249,0.4055,NaN,0.3563,0.4753,0.5266,0.4476,0.4399,NaN,0.1379,-0.0725,0.4646,0.5385,0.395,0.621,0.1145,0.9885,0.1524,0.3532
0.1393,0.3564,0.1386,NaN,0.0274,0.1386,0.313,0.2781,0.3364,NaN,0.6097,0.4043,0.1423,0.1371,0.1208,0.1714,0.6421,0.1524,0.9886,0.1976
0.4539,0.0087,0.4631,NaN,0.3536,0.4253,0.4729,0.5144,0.5225,NaN,0.1589,0.118,0.3899,0.3934,0.2812,0.4812,0.1524,0.3532,0.1976,0.9897
